2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: password in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 134]
2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 135]
2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 141]
2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 142]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: shoparr in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 312]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: hostname in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 324]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: username in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 325]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: password in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 326]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 327]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 333]
2014-08-04 12:16:54 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 334]
2014-08-04 12:17:11 Debug: Notice (8): Undefined variable: root in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 121]
2014-08-04 12:17:59 Debug: Notice (8): Undefined variable: root in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 121]
2014-08-04 12:18:33 Debug: Notice (8): Undefined variable: root in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 121]
2014-08-04 12:20:18 Debug: Notice (8): Undefined variable: root in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 124]
2014-08-04 12:20:18 Debug: Notice (8): Undefined variable: shoparr in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 312]
2014-08-04 12:20:18 Debug: Notice (8): Undefined variable: hostname in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 324]
2014-08-04 12:20:18 Debug: Notice (8): Undefined variable: username in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 325]
2014-08-04 12:20:18 Debug: Notice (8): Undefined variable: password in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 326]
